id;title;year;references;abstract
3005773274;Malware classification algorithm using advanced Word2vec-based Bi-LSTM for ground control stations;2020.0;[];   Recently, Internet of Drones (IoD) are issued to utilize the diverse kinds of drones for leisure, education and so on. Researchers study to prevent the situations that drones are disabled by cyber-attackers by embedding malwares into the drones and Ground Control Stations (GCS). Therefore, it is required to protect the malwares considering the diverse kinds of features of the drones and GCSs. Signature-based detection approaches are traditionally utilized. However, given that those approaches only scan files partially, some of malwares are not detected. This paper proposes a novel method for finding the malwares in GCSs that utilizes a fastText model to create lower-dimension vectors than those the vectors by one-hot encoding and a bidirectional LSTM model to analyze the correlation with sequential opcodes. In addition, API function names are utilized to increase the classification accuracy of the sequential opcodes. In the experiments, the Microsoft malware classification challenge dataset was utilized and the malwares in the dataset were classified by family types. The proposed method showed the performance improvement of 1.87% comparing with the performance by a one-hot encoding-based approach. When the proposed method was compared with a similar decision tree-based malware detection approach, the performance of the proposed method was improved by 0.76%.
3002219790;Generalized transitivity: A systematic comparison of concepts with an application to preferences in the Babington Smith model;2020.0;[79079207, 170687150, 756957829, 1517040319, 1541230581, 1973469080, 1978829539, 2068655514, 2077313028, 2100683571, 2149427297, 2167861526, 2249408652, 2592965444, 2883737864, 2912748147, 2963611811];   Reciprocal relations are binary relations Q with entries    Q  (  i  ,  j  )  ∈  [  0  ,  1  ]   , and such that    Q  (  i  ,  j  )  +  Q  (  j  ,  i  )  =  1   . Relations of this kind occur quite naturally in various domains, such as preference modeling and preference learning. For example,      q    i  ,  j      could be the fraction of voters in a population who prefer candidate i to candidate j. In the literature, various attempts have been made at generalizing the notion of transitivity to reciprocal relations. In this paper, we compare three important frameworks of generalized transitivity: g-stochastic transitivity, T-transitivity, and cycle-transitivity. To this end, we introduce E-transitivity as an even more general notion. We also use this framework to extend an existing hierarchy of different types of transitivity. As an illustration, we study transitivity properties of probabilities of pairwise preferences, which are induced as marginals of an underlying probability distribution on rankings (strict total orders) of a set of alternatives. In particular, we analyze the interesting case of the so-called Babington Smith model, a parametric family of distributions of that kind.
2999570098;A New DGNSS Positioning Infrastructure for Android Smartphones;2020.0;[1978255623, 2109436662, 2146023544, 2180507614, 2422225805, 2898178966, 2944198247, 2964333408];One’s position has become an important piece of information for our everyday lives in a smart city. Currently, a position can be obtained easily using smartphones that is equipped with low-cost Global Navigation Satellite System (GNSS) chipsets with accuracy varying from 5 m to 10 m. Differential GNSS (DGNSS) is an efficient technology that removes the majority of GNSS errors with the aid of reference stations installed at known locations. The sub-meter accuracy can be achieved when applying the DGNSS technology on the advanced receivers. In 2016, Android has opened the accesses of raw GNSS measurements to developers. However, most of the mid and low-end smartphones only provide the data using the National Marine Electronics Association (NMEA) protocol. They do not provide the raw measurements, and thus do not support the DGNSS operation either. We proposed a DGNSS infrastructure that correct the standalone GNSS position of smartphones using the corrections from the reference station. In the infrastructure, the position correction is generated considering the GNSS satellite IDs that contribute to the standalone solution in smartphones, and the position obtained is equivalent to the solution of using the range-domain correction directly. To serve a large number of smartphone users, a Client/Server architecture is developed to cope with a mass of DGNSS positioning requests efficiently. The comparison of the proposed infrastructure against the ground truth, for all field tests in open areas, showed that the infrastructure achieves the horizontal positioning accuracy better than 2 m. The improvement in accuracy can reach more than 50% for the test in the afternoon. The infrastructure brings benefits to applications that require more accuracy without requiring any hardware modifications.
2998778732;A New Cycle Slip Detection and Repair Method Using a Single Receiver’s Single Station B1 and L1 Frequencies in Ground-Based Positioning Systems;2020.0;[2482503770];The detection and repair of the cycle slip is a key step for high precision navigation and positioning in indoor environments. Different methods have been developed to detect and repair cycle slips for carrier phase processing. However, most approaches are designed to eliminate the effects of the ionosphere in an outdoor environment, and many of them use pseudorange (code) information that is no longer suitable for indoor multipath environments. In this paper, a method based on the geometry-free combination without the pseudorange data is proposed to detect and fix cycle slips. A ground-based navigation system is built for data collection. Unlike the traditional dual-frequency cycle slip detection method, the Beidou B1, GPS L1 carrier phase combination is used instead of the B1, B2, or L1, L2 carrier phase combination, Ublox is used for data collecting. For fixing the cycle slips quickly, an improved adaptive Particle Swarm Optimization (PSO) algorithm is employed. We compared the performance of the new method with the existing two methods using simulated data in different conditions. The results show that the proposed method has better performance than other methods.
2972569439;Existence and concentration of positive ground states for a 1-Laplacian problem in RN;2020.0;[];   This paper is concerned with the following quasilinear elliptic problem:         −  e    Δ    1    u  +  V   (  x  )     u     |  u  |     =  K   (  x  )      |  u  |     p  −  1    u  ,    in      R    N    ,      u  ∈  B  V   (    R    N    )   ,         where     0    p      1    N  −  1      ,     N  ≥  2     and     e  u003e  0     is a small parameter. Under some mild conditions on the nonnegative functions     V   (  x  )      and     K   (  x  )     , we establish the existence of a ground state solution      u    e      for the above problem. Moreover,      u    e      concentrates on the intersection set of global minimum points of     V   (  x  )      and maximum points of     K   (  x  )     . The methods are based on the Nehari manifold technique and the Concentration-Compactness Principle of Lions.
2999284923;Minimal Ramsey graphs on deleting stars for generalized fans and books;2020.0;[1666603719, 2007681157, 2030814745, 2055084468, 2115164934, 2395948124, 2892116073];   Let F, G1 and G2 be simple graphs. Denote by F → (G1, G2) each edge coloring of F by red and blue that contains a red G1 or a blue G2. Define the star-critical Ramsey number      R  S    (   G  1   ,   G  2   )      to be the largest p such that Kr∖K1,p → (G1, G2), where     r  =  R  (   G  1   ,   G  2   )     is the Ramsey number. By Stability Lemma and Regularity Lemma, we determine      R  S    (   C   2  t  +  1    ,   K  1   +  n  G  )      and      R  S    (   C   2  t  +  1    ,   K  s   +  n   K  1   )      for large n.
3004918740;Vehicles Tracking by Combining Convolutional Neural Network Based Segmentation and Optical Flow Estimation;2020.0;[639708223, 1599058448, 1861492603, 1944615693, 2055022211, 2068611653, 2104828970, 2105101328, 2115739848, 2119605622, 2131747574, 2163937424, 2173520492, 2194775991, 2248556341, 2470139095, 2470142083, 2560474170, 2570343428, 2587008894, 2765877758, 2766984662, 2795093135, 2952186347, 2963150697, 2963253230, 2963305757, 2963482775, 2963782415];
2981937409;Dispatching fire trucks under stochastic driving times;2020.0;[1598399595, 1970919575, 1988963644, 2014406364, 2031621632, 2036821962, 2043219147, 2043833509, 2088363515, 2089677243, 2092752818, 2093228967, 2099271358, 2112088608, 2118313703, 2120782266, 2126602679, 2144479651, 2149139265, 2793538957, 2797681513, 2949773717];   To accommodate a swift response to fires and other incidents, fire departments have stations spread throughout their coverage area, and typically dispatch the closest fire truck(s) available whenever a new incident arises. However, it is not obvious that the policy of always dispatching the closest truck(s) minimizes the long-run fraction of late arrivals, since it may leave gaps in the coverage for future incidents. Although the research literature on dispatching of emergency vehicles is substantial, the setting with multiple trucks has received little attention. This is despite the fact that here careful dispatching is even more important, since the potential coverage gap is much larger compared to the single-truck case. Moreover, when dispatching multiple trucks, the uncertainty in the trucks’ driving time plays an important role, in particular due to possible correlation in driving times of the trucks if their routes overlap.  In this paper we discuss optimal dispatching of fire trucks, based on a particular dispatching problem that arises at the Amsterdam Fire Department, where two fire trucks are sent to the same incident location for a quick response. We formulate the dispatching problem as a Markov Decision Process, and numerically obtain the optimal dispatching decisions using policy iteration. We show that the fraction of late arrivals can be significantly reduced by deviating from current practice of dispatching the closest available trucks, with a relative improvement of on average about 20%, and over 50% for certain instances. We also show that driving-time correlation has a non-negligible impact on decision making, and if ignored may lead to performance decrease of over 20% in certain cases. As the optimal policy cannot be computed for problems of realistic size due to the computational complexity of the policy iteration algorithm, we propose a dispatching heuristic based on a queueing approximation for the state of the network. We show that the performance of this heuristic is close to the optimal policy, and requires significantly less computational effort.
2999549136;Fiber-specific variations in anterior transcallosal white matter structure contribute to age-related differences in motor performance;2020.0;[239929985, 1965894642, 1968135525, 1968471282, 1977396216, 2010125850, 2019836674, 2037701101, 2061997902, 2071384456, 2077240096, 2103729454, 2126693856, 2127309075, 2470259419, 2508982726, 2520744072, 2809071881];"   Age-related differences in bimanual motor performance have been extensively documented, but their underlying neural mechanisms remain less clear. Studies applying diffusion MRI in the aging population have revealed evidence for age-related white matter variations in the corpus callosum (CC) which are related to bimanual motor performance. However, the diffusion tensor model used in those studies is confounded by partial volume effects in voxels with complex fiber geometries which are present in up to 90% of white matter voxels, including the bilateral projections of the CC. A recently developed whole-brain analysis framework, known as fixel-based analysis (FBA), enables comprehensive statistical analyses of white matter quantitative measures in the presence of such complex fiber geometries. To investigate the contribution of age-related fiber-specific white matter variations to age-related differences in bimanual performance, a cross-sectional lifespan sample of healthy human adults (N ​= ​95; 20–75 years of age) performed a bimanual tracking task. Furthermore, diffusion MRI data were acquired and the FBA metrics associated with fiber density, cross-section, and combined fiber density and cross-section were estimated. Whole-brain FBA revealed significant negative associations between age and fiber density, cross-section, and combined metrics of multiple white matter tracts, including the bilateral projections of the CC, indicative of white matter micro- and macrostructural degradation with age. More importantly, mediation analyses demonstrated that age-related variations in the combined (fiber density and cross-section) metric of the genu, but not splenium, of the CC contributed to the observed age-related differences in bimanual coordination performance. These findings highlight the contribution of variations in interhemispheric communication between prefrontal (non-motor) cortices to age-related differences in motor performance."
2999248228;A Unified System for Aggression Identification in English Code-Mixed and Uni-Lingual Texts.;2020.0;[1522301498, 1677182931, 1686810756, 1832693441, 1841724727, 1936750108, 2064675550, 2097117768, 2099813784, 2131876387, 2170240176, 2194775991, 2250539671, 2273847690, 2302255633, 2413904250, 2470673105, 2511794618, 2587019100, 2607306668, 2740721704, 2798754355, 2895645998, 2911736392, 2912026968, 2912102236, 2912123473, 2912248199, 2912918913, 2912994242, 2913044599, 2913440437, 2913474415, 2914034656, 2914317128, 2914491155, 2914569437, 2939362715, 2950112902, 2951118135, 2951701153, 2962772361, 2962975459, 2963026768, 2964345792];Wide usage of social media platforms has increased the risk of aggression, which results in mental stress and affects the lives of people negatively like psychological agony, fighting behavior, and disrespect to others. Majority of such conversations contains code-mixed languages[28]. Additionally, the way used to express thought or communication style also changes from one social media plat-form to another platform (e.g., communication styles are different in twitter and Facebook). These all have increased the complexity of the problem. To solve these problems, we have introduced a unified and robust multi-modal deep learning architecture which works for English code-mixed dataset and uni-lingual English dataset both.The devised system, uses psycho-linguistic features and very ba-sic linguistic features. Our multi-modal deep learning architecture contains, Deep Pyramid CNN, Pooled BiLSTM, and Disconnected RNN(with Glove and FastText embedding, both). Finally, the system takes the decision based on model averaging. We evaluated our system on English Code-Mixed TRAC 2018 dataset and uni-lingual English dataset obtained from Kaggle. Experimental results show that our proposed system outperforms all the previous approaches on English code-mixed dataset and uni-lingual English dataset.
